category,text,Nan;
entertainment,show over for mtv s the osbournes rock star ozzy osbourne has said his family will not make any more episodes of reality tv show the osbournes.   at the end of it i didn t like having cameras around the house all the time   the black sabbath singer told reporters at the mtv europe awards in rome. his wife sharon  who also appears in the popular mtv show based on the osbournes  family life  agreed.  now everybody s doing reality shows. he s done it  he s been there  he s got to do something else   she said.  ozzy osbourne said he had had enough of the work involved in making the series.  when you watch a 25-minute episode  i ve been filming all day   he said. sharon osbourne is currently appearing as a judge and mentor in itv1 talent show the x-factor alongside simon cowell and louis walsh.  earlier this year she topped a poll of the most important people in rock  for her part in guiding the career of husband ozzy and her family. she was the driving force behind the osbournes  which ran for three series  earning the family a reported $85m (£46m). the renewed popularity for ozzy has seen sales of his merchandise hit the $50m (£27.2m) mark  a record for a heavy metal artist. sales of t-shirts  accessories and action figures have rocketed since the osbournes hit screens. at its peak  the osbournes had a regular audience of eight million  with america s tv guide magazine describing the series as  a cross between the simpsons and this is spinal tap . osbourne himself was at a loss to explain its popularity:  i suppose americans get a kick out of watching a crazy brit family like us make complete fools of ourselves every week.;
business,insurance bosses plead guilty another three us insurance executives have pleaded guilty to fraud charges stemming from an ongoing investigation into industry malpractice.  two executives from american international group (aig) and one from marsh & mclennan were the latest. the investigation by new york attorney general eliot spitzer has now obtained nine guilty pleas. the highest ranking executive pleading guilty on tuesday was former marsh senior vice president joshua bewlay.  he admitted one felony count of scheming to defraud and faces up to four years in prison. a marsh spokeswoman said mr bewlay was no longer with the company. mr spitzer s investigation of the us insurance industry looked at whether companies rigged bids and fixed prices. last month marsh agreed to pay $850m (£415m) to settle a lawsuit filed by mr spitzer  but under the settlement it  neither admits nor denies the allegations .;
tech,gamers snap up new sony psp gamers have bought almost all of the first batch of sony s new playstation portable (psp) games console  which went on sale in japan on sunday.  thousands of people queued for hours to get hold of one of the 200 000 psps which were shipped to retailers. the handheld console can play games  music and movies and goes on sale in europe and north america next year. despite the demand sony said it would not increase the 500 000-strong stock of psps it plans to ship by year s end.  sony says it intends to ship three million of the consoles by march 2005. the company is hoping to challenge the dominance of nintendo in the handheld market. nintendo released its new ds console earlier this year and has already raised shipment targets for the device by 40%. the psp is selling in japan for 19 800 yen ($188; £98) while nintendo s ds console sells in the us and japan for $150 (£78). nintendo s goal is to ship 5 million of its new nintendo ds handheld consoles by march 2005.
entertainment,row threatens hendrix museum plan proposals to open a museum dedicated to jimi hendrix are flailing because of a row over the home of his late father.  the run-down house in seattle has already been moved wholesale once and local authorities are now demanding it be moved to another site. hendrix supporters hoped to turn the home into a museum for the guitarist.  the mayor is going to go down as the mayor who destroyed jimi hendrix s house   said ray rae marshall of the james marshall hendrix foundation. the foundation moved the building  in which al hendrix lived between 1953 and 1956  when the land it was built on was to be developed for housing in 2002. now the city of seattle wants its new plot to be used for development  giving a deadline of 22 february for the home to be moved. mr goldman said the authority had promised the house could remain on its new site and be turned into a memorial and community centre. seattle officials said no such deal had been offered.   we never said   you can own this property    said john franklin  chief of its operations department.  from our perspective  it was a temporary situation. we have not threatened to demolish the house. we ve simply asked that they have to move it.  now mr goldman is calling for the authority to pay to move the building to seattle s central district  where hendrix grew up. janie hendrix  the guitarist s stepsister  said the family were still hoping the guitarist would be honoured by having a road named after him.  that s something my father really wanted to see   she said.  it would be nice if we didn t have to fight for everything to get it.  hendrix was widely considered one of the most important guitarists of his time. he died of drug overdose in 1970 at the age of 27.;
sport,rovers reject third ferguson bid blackburn have rejected a third bid from rangers for scotland captain barry ferguson  bbc sport has learnt.  it is thought blackburn want £6m for the midfielder but chief executive john williams has confirmed the club are still  in dialogue  with rangers. the 26-year-old has already handed in a transfer request at ewood park as he seeks a return to ibrox. but the clubs have been unable to reach agreement over a fee for ferguson  who moved to lancashire in 2003 for £6.5m. on thursday rangers said they would not be increasing their offer of £4m.  blackburn have said all along that they want £6m for the midfielder and williams has rejected proposals from rangers over a player-swap deal. williams said:  we are in dialogue with glasgow rangers but we have no agreement.  the negotiations will have to be concluded by midnight on monday  when the winter transfer window shuts. williams conceded any deal for ferguson was looking  unlikely  before the close of the transfer window but rangers still had a chance to seal the deal.  we have no comment to make other than we have not got an agreement with glasgow rangers   he added.  the way things are looking  i think it is unlikely we are going to.  the ball is in their court but we have not got an offer that is acceptable at this moment.  it is understood that blackburn accepted a £5m offer for ferguson from everton at the weekend. but the player is determined to return to scotland and rejected a move to goodison park. ferguson did not play in the fa cup win over colchester on saturday despite recovering from a groin injury with rovers boss mark hughes claiming it had been an  emotional and difficult time  for the player.;
politics,vouchers  to cut winter deaths  pensioners are being promised energy savings by the liberal democrats  as snow and cold temperatures continue.  the party says the plans could save the average pensioner £100 every year and cut winter deaths. the government gives £200 for winter fuel to households with people over 60  or £300 where people are over 80. the tories promise to keep the payments. the lib dems would allow people to swap these winter fuel payments for discounts on home insulation. shadow local government secretary ed davey said:  the current scheme has helped some older people  but this new liberal democrat approach will go much further to end the scandal of tens of thousands of old people dying from the winter cold every year.  the vouchers are designed to let pensioners choose from a list of approved energy supplies who would compete for business by offering discounts on home insulation schemes. the plan would boost energy conservation  says the party - and insulation could save £100 every year for pensioner households  so using the money more  intelligently  than at present.;
business,ukraine trims privatisation check ukraine is to review  dozens  of state asset sales as the country s new administration tackles corruption.  the figure announced by president viktor yushchenko is less than the 3 000 cases mentioned last week  but will cover many of the biggest deals. ukraine recently ousted long-serving leader leonid kuchma and has said it wants closer european union links. in a separate statement  the eu said that the us should back ukraine s entry into the world trade organisation. the comments came as viktor yushchenko prepared to head to brussels to meet with us president george w bush and other north atlantic treaty organisation (nato) leaders. he is the only non-nato member leader invited to attend the summit.  mr yushchenko recently defeated moscow-backed presidential candidate and prime minister viktor yanukovych at the polls  and has made no secret of his wish to fight corruption and make ukraine more transparent.  earlier this month  new prime minister yulia tymoshenko said as many as 3 000 firms may have their privatisations put under the spotlight. her comments raised concerns among a number of investors and mr yushchenko was seen on monday as trying to soothe their frayed nerves.  we acknowledge that business in ukraine is now shaped and 98% of privatisations were carried out according to the law   mr yushchenko said on monday.  we have trust in this business and want to defend it by law   he continued  adding that any review would focus on  dozens of companies  not hundreds or thousands . he cited last year s sale of ukrainian steel producer krivorizhstal as one that had raised concerns. it was sold in june 2004 to a consortium that included viktor pinchuk  son-in-law of former-president kuchma  and rinat akhmetov  the country s richest man  for $800m (£424m) - despite other higher offers.  vice-prime minister oleg rybachuk called on the eu to recognise the steps that ukraine was taking  fearing that should the country not be rewarded for its efforts there may be a backlash against closer relations with brussels. he said that while he understood that ukraine was not ready for eu membership  the country needed to see progress on topics such as trade and visa requirements.  we deserve an honest response   mr rybachuk told the associated press in an interview.  we understand the difficulties. we refuse to understand double standards.  ukraine may find it has a sympathetic ear in brussels  the eu has reiterated that we support (ukraine s) fast accession to the wto and if possible we would like that to happen some time during the year   said claude veron-reville  a spokesman for eu trade commissioner peter mandelson.  we have said as much to the americans. we feel that it is important for us all to pull together for ukraine to be allowed into the wto. mr yushchenko was careful not to turn his back on russia  which borders the country to the east  saying it was important to maintain  pragmatic  ties with moscow.  russia is ukraine s eternal strategic partner   mr yushchenko said.;
sport,henson stakes early lions claim the six nations may be a glittering prize in itself but every player from the four home unions will also have one eye on a possible trip to new zealand with the lions this summer.  the player who staked the biggest claim for a place in the starting xv over the weekend was gavin henson. he s very confident. you just had to listen to his interview afterwards - he beamed with confidence - but although there s an element of arrogance it s good arrogance. he certainly showed some nice touches. he once showed a clean pair of heels to mathew tait when he got outside him  his defence was very good and he made some great kicks out of hand. and that s without even mentioning his majestic match-winning penalty. but i think we need to wait and see what happens because he needs to be put to the test. he needs to come up against brian o driscoll or a big french midfield. wales fly-half stephen jones was another player who impressed me. he gave good direction  he was very confident and he was a nice general for his side. he showed he can control a game. with jonny wilkinson not playing at the moment due to inury the number 10 shirt could be up for grabs and jones  or maybe even henson  could make the lions team at fly-half.  jones stuck his hand up and he certainly looks a better bet than charlie hodgson after saturday s game. some of the wales forwards surprised me because i thought they would be out-muscled in the tight five. england prop julian white is a capable player but when it comes down to selection gethin jenkins is now going to have the upper hand because he came out on top. however  i still think white and phil vickery will be in the frame. some english players did their cause no harm. i thought joe worsley had a solid game and jason robinson and josh lewsey both did nothing wrong. but it looked too soon for young mathew tait and i think it will be a while before we see him again. despite being written off beforehand several scots caught my eye against france.  tom smith has been there and done it before  but the likes of chris cusiter  jason white and ally hogg all made their mark. hogg made a couple of good runs while white had a pretty robust game - his defence is right up there. cusiter looked very lively and he could be a very good option for lions coach sir clive woodward. the star of ireland s win over italy in rome looks like a certainty to make the starting xv against new zealand. brian o driscoll is a class act. he ran some good lines against italy  made the breaks and fed his outside backs  although italy defended man on man which made it easy for him. gordon d arcy was unlucky to go off injured early on but i think you could get a henson  d arcy  o driscoll combination in the lions midfield. paul o connell just needs to add a hard edge to his game and malcolm o kelly keeps on going and seems to be putting his hand up  while shane byrne seems to be a lively character. but they will be a bit worried after the italian pack drove them off their own ball on sunday  although i used to play in italy and i know how difficult it can be. one player who didn t impress me was wales scrum-half dwayne peel. he choked late on in the second half when wales were trailing. they had good possession and he kicked the ball away - i wouldn t want him as my lions scrum-half after that.;
business,us regulator to rule on pain drug us food and drug regulators will decide on friday whether to recommend the sale of painkillers that have been linked to a high risk of heart attack and stroke.  the food and drug administration (fda) advisory panel will give its verdict after hearing evidence for three days. the painkillers - called cox-2 inhibitors - are sold under brand names such as celebrex and vioxx. vioxx was withdrawn from shops last year but merck said it would consider selling it if it gets fda approval. the fda has been asked to decide if the benefits to patients justify the increased risks.  putting vioxx back on the shelves is likely to boost profits at merck and make easier any legal battles with people who claim to have been injured by the drug  analysts said.  merck voluntarily stopped sales of vioxx on 30 september  a move which caused the firm s fourth-quarter earnings to slide to $1.1bn (£581m)  from $1.4bn a year earlier. merck s shares tumbled more than 10% on the news and the company has had to set aside millions of dollars to cover the cost of vioxx-related litigation. alarm bells were rung by a research note called approve which showed that the risk of heart attack and stroke doubled in patients who had been taking the drug for at least 18 months. the cox-2 inhibitors were developed by drug companies  including merck and pfizer  because they cause users fewer stomach problems than other painkillers.  pfizer is still selling its celebrex and bextra products  though investigations have suggested that they may also be harmful to the heart. merck s announcement of a possible reintroduction of vioxx caught analysts by surprise. merck s head of research peter kim said that it withdrew vioxx  based on the information that was available to us at the time  knowing there were alternative therapies . he went on to say that things have since changed in the light of new reports.  given this new information  its is not clear that the cardiovascular risk observed in approve makes vioxx unique in the class of similar drugs marketed in the us   mr kim explained.  on thursday  david graham from the fda s office of drug safety told the advisory panel that  there really doesn t appear to be a need for cox-2  inhibitors. according to calculations presented to the us senate by dr graham in november  vioxx may be linked to as many as to 56 000 american deaths. facing stem criticism for its handling of the vioxx case  the fda said on tuesday that it will create an independent body to oversee the safety of drugs already in the market place. european regulators  meanwhile  ruled on thursday that patients who have had heart disease or a stroke should not take cox-2 inhibitors. the european medicines agency also said doctors should be  cautious  about giving the drugs to patients who have risk factors for heart disease.;
sport,o driscoll out of scotland game ireland captain brian o driscoll has been ruled out of saturday s rbs six nations clash against scotland.  o driscoll was originally named in the starting line-up but has failed to recover from the hamstring injury he picked up in the win over italy. his replacement will be named after training on friday morning. fellow centre gordon d arcy is also struggling with a hamstring injury and he will undergo a fitness test on friday to see if he can play.  kevin maggs would be an obvious replacement at centre while shane horgan could also be moved from wing. ulster wing tommy bowe could also be asked to travel with the squad to scotland as a precautionary measure. the only other change to the ireland side sees wasps flanker johnny o connor replacing denis leamy. o connor will be winning his third cap after making his debut in the victory over south africa last november.  : murphy  horgan  tbc  d arcy  hickie  o gara  stringer  corrigan  byrne  hayes  o kelly  o connell  s easterby  o connor  foley.  : sheahan  horan  o callaghan  miller  g easterby  humphreys  dempsey.;
